Name	Set	ImageFile	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Cardtext
Kingdom Wyvern	1	EN1-021	Resonator	Dragon	[w][w][3]	5	600	800	Light	U	[Flying]
Sphinx, the Guardian of the King's Tomb	1	EN1-022	Resonator	Divine Beast	[w][w][3]	5	0	1500	Light	R	[Break] All damage becomes 0 until end of turn. <br />[Continuous] At the end of battle phase that this card blocked. You gain 300 life.
Will-o'-the-Wisp	1	EN1-023	Resonator	Spirit		0	0	100	Light	R	[Break] Choose a resonator in your graveyard and put it into your hand. <br />[Continuous] If a resonator in your field would be destroyed, pay {W} and banish this card not to destroy it instead.
Raphael, the Healing Archangel	1	EN1-024	Resonator	Angel	[w][w][4]	6	800	1000	Light	R	[Flying] <br />[Enter] You gain 800 life. <br />[Activate] {Rest}: Target resonator cannot be dealt any damage until end of turn.
Benem, the Guardian Angel	1	EN1-025	Resonator	Angel	[w][3]	4	200	800	Light	C	[Flying]
Amaterasu, the Oracle of Sacred Text	1	EN1-026	Resonator	Deity	[w][w][w]	3	400	400	Light	SR	[Continuous] This card cannot be attacked by your opponent's resonator. <br />[Activate] {Rest}: Target resonator cannot be dealt any battle damage and cannot be targeted by a spell until end of turn. <br />[Activate] {Rest}: Destroy target addition.
Thor, the White Lightning	1	EN1-027	Resonator	Deity	[w][w][3]	5	1000	1000	Light	SR	[Continuous] As you choose this card as attacker, you may discard a card. If you do, choose a resonator in an opponents field and rest it before you choose where to attack.
Chivalry	1	EN1-028	Addition: Field		[w][w]	2			Light	R	[Continuous] [Race:Knight of the Round Table] cards gain [+200/+200].
Etape	1	EN1-029	Addition: Field		[w][3]	3			Light	C	[Continuous] When you draw a card from your main deck, if it's a first card you draw this turn, you gain 200 life. (You don't gain life if it's your second card or later.)
Ward of Protection	1	EN1-030	Addition: Field		[w][w][2]	4			Light	C	[Continuous] Each of your resonators gain [-400/+400].
Power from Inside	1	EN1-031	Addition: Resonator		[w]	1			Light	C	[Continuous] Resonator with this gains [+200/+400].
Will of Peace	1	EN1-032	Addition: Resonator		[w][1]	2			Light	C	[Continuous] Resonator with this gains [-800/-0].
Iron-Tight	1	EN1-033	Addition: Resonator		[w][w][1]	3			Light	C	[Continuous] Resonator with this gains [+0/+800].
Aroundight, the Holy Sword	1	EN1-034	Addition: Resonator		[w][w][1]	3			Light	R	[Continuous] Resonator with this gains [+400/+400]. <br />[Continuous] You gain life equal to the damage the resonator with this deals to an opponent.
Restoration	1	EN1-035	Spell	Chant	[w][1]	2			Light	C	[Break] Choose a resonator in your graveyard and put it into your hand. <br />Choose a resonator in your graveyard and put it into your hand.
Search for the Holy Site	1	EN1-036	Spell	Chant	[w][1]	2			Light	C	[Break] Reveal the top card of your magic stone deck and put it into your magic stone area rested. <br />Search for a magic stone from your magic stone deck and put it into your magic stone area rested. Then you shuffle your magic stone deck.
Expedition	1	EN1-037	Spell	Chant	[w][w]	2			Light	U	[Break] Draw a card from your main deck. <br />Search for a [Race:Knight of the Round Table] resonator from your main deck, reveal it and put it into your hand. Then shuffle your main deck.
Bless of the Holy Grail	1	EN1-038	Spell	Chant	[w][3]	4			Light	C	[Break] Target player gains 500 life. <br />Target player gains 800 life.
Besieged Battle	1	EN1-039	Spell	Chant - Instant	[w]	1			Light	C	[Break] Recover target resonator in your field. <br />Recover your resonators. Their ATK becomes 0 until end of turn.
Head On Attack	1	EN1-040	Spell	Chant - Instant	[w]	1			Light	C	[Break] Draw a card from your main deck. <br />Target blocking resonator or J-ruler gains [+600/+600] until the end of turn.
Battle Cry	1	EN1-041	Spell	Chant - Instant	[w][1]	2			Light	C	[Break] Recover target resonator in your field. <br />Target resonator gains [+400/+200] until end of turn. At the end of turn, recover that resonator.
Blessed Protection	1	EN1-042	Spell	Chant - Instant	[w][1]	2			Light	U	[Break] Target resonator gains [+0/+500] until end of turn. <br />Target resonator or J-ruler gains [+0/+500] until end of turn. You gain life equal to the damage it has been dealt.
Disarm	1	EN1-043	Spell	Chant - Instant	[w][1]	2			Light	C	[Break] Destroy target addition. <br />Destroy target addition.
Light of Faith	1	EN1-044	Spell	Chant - Standby	[w][1]	2			Light	U	[Break] Draw a card from your main deck. <br />[Trigger] Discard a card from your hand: Target resonator cannot be dealt any damage until end of turn.
Duel	1	EN1-045	Spell	Chant - Standby	[w][1]	2			Light	C	[Trigger] Anytime: Target resonator gains [+400/+400] until end of turn.
Glory Light of Submission	1	EN1-046	Spell	Chant - Standby	[w][1]	2			Light	C	[Trigger] Anytime: Rest target resonator.
Oath of Round Table	1	EN1-047	Spell	Chant - Standby	[w][w]	2			Light	R	[Trigger] Banish a card in your lifebreak area: Recover your [Race:Knight of the Round Table] cards. They gain [+400/+400] until end of turn. This card can be played only in your opponent's turn, after an attack is declared.
Castling	1	EN1-048	Spell	Chant - Standby	[w][w]	2			Light	U	[Trigger] Discard a card from your hand when you're attacked: Damage dealt to you by target resonator becomes 0. You gain life equal to the ATK of the resonator.
Shuren, the King of Supremacy	1	EN1-049,EN1-049-j	Ruler				0//0	0//100	Fire	R	[J-Activate] Pay {R}{R}{R}, choose a card in you hand at random and discard it. <br />[Continuous] Your [Race:Samurai] resonators gain [+200/+0].//[Continuous] ATK and DEF of this card is equal to [total number of card in all magic stone areas x 100]. <br />[Enter] Destroy all resonators in your field, then destroy all resonators and J-ruler with 800 or more ATK in your opponent's field. <br />[Activate] Banish a card in your magic stone area: This card deals 100 damage to target resonator or J-ruler.
Raging Flame Kabuki	1	EN1-050,EN1-050-j	Ruler				0//1000	0//400	Fire	R	[J-Activate] Banish three resonators in your field. This can be activated only at the beginning of your main phase. [Continuous] Your fire attribute resonators with total cost three or less can attack in the turn it's summoned.//[Continuous] At the end of turn, it deals 500 damage to you and return to the ruler side. <br />[Enter] Rest all resonators. <br />[Enter] This card can attack on the turn you did judgement.
Warlord of Exploding Flame	1	EN1-051,EN1-051-j	Ruler				0//1000	0//1000	Fire	R	[J-Activate] Pay {R}{R}{2} <br />[Activate] Discard a card from your hand: Target resonator gains [Explode] until end of turn.//[Pierce] <br />[Target Attack] <br />[Enter] All resonators gain [+200/+0] and [Explode] until end of turn.
Shock Troop of Asakna	1	EN1-052	Resonator	Samurai	[r]	1	200	200	Fire	C	[Break] Put this card into your field. <br />[Enter] This card can attack in the turn it's summoned.
Suicidal Troop of Asakna	1	EN1-053	Resonator	Samurai	[r]	1	200	200	Fire	C	[Break] This card deals 400 damage to target resonator. <br />[Activate] Banish this card: This card deals 400 damage to target resonator or player.
Guardian of Asakna	1	EN1-054	Resonator	Samurai	[r][1]	2	200	200	Fire	C	[Break] Put this card into your field. Destroy this at the end of turn. <br />[Explode]
Cavalry of Asakna	1	EN1-055	Resonator	Samurai	[r][1]	2	400	200	Fire	C	[Break] Put this card into your field.
Charger of Asakna	1	EN1-056	Resonator	Samurai	[r][2]	3	800	600	Fire	C	[Continuous] This card cannot block. <br />[Continuous] This card cannot attack unless another resonator attacked this turn.
Battle Archer of Asakna	1	EN1-057	Resonator	Samurai	[r][3]	4	400	400	Fire	U	[Activate] Pay {R}{2},{Rest}: Destroy target resonator with [Flying].
Fantian-Huaji, the Pyre	1	EN1-058	Resonator	Hero	[r][r][3]	5	1000	400	Fire	R	[Continuous] This card cannot be targeted by spells or abilities while it's recovered. <br />[Enter] This card deals 400 damage to each other resonator.
Beard Duke Warrior of One-Thousand	1	EN1-059	Resonator	Hero	[r][r][5]	7	0	800	Fire	R	[Pierce] <br />[Enter] This card can attack in the turn it's summoned. <br />[Continuous] ATK of this card is equal to [total number of all cards in all magic stone areas x 100.]
Barrooga, the Raging Fire Beast	1	EN1-060	Resonator	Beast	[r][1]	2	200	200	Fire	C	[Break] Put this card into your field. <br />[Activate] {Rest}: Target resonator gains [+300/+0] until end of turn.
The Flame	1	EN1-061	Resonator	Beast	[r]	1	200	200	Fire	R	[Break] Put this card into your field. <br />[Explode]
Bammoo, the Raging Fire Beast	1	EN1-062	Resonator	Beast	[r][1]	2	400	200	Fire	U	[Continuous] When this card is destroyed by battle damage, it deals 200 damage to target resonator.
Sabretooth Tiger	1	EN1-063	Resonator	Beast	[r][2]	3	800	200	Fire	C	[Break] Put this card into your field.
Flame Djinn	1	EN1-064	Resonator	Spirit	[r][3]	4	800	400	Fire	U	[Continuous] At the end of turn, this card deals 400 damage to each resonator. <br />[Enter] This card can attack in the turn it's summoned.
Gark, the Pyre Beast	1	EN1-065	Resonator	Beast	[r][3]	4	400	400	Fire	U	[Enter] This card deals 500 damage to target resonator.
Parrot Dragon	1	EN1-066	Resonator	Dragon	[r][1]	2	400	200	Fire	C	[Break] Put this card into your field.
Lava Stream Drake	1	EN1-067	Resonator	Dragon	[r][3]	4	400	400	Fire	C	[Flying] <br />[Explode]
Wyvern of Mount Olga	1	EN1-068	Resonator	Dragon	[r][r][3]	5	800	600	Fire	U	[Flying]
Flare Dragon	1	EN1-069	Resonator	Dragon	[r][r][5]	7	1000	1000	Fire	R	[Flying] <br />[Activate] Pay {R}: This card gains [+200/+0] until end of turn.
Berserk Dragon	1	EN1-070	Resonator	Dragon	[r][r][8]	10	2000	400	Fire	SR	[Flying] <br />[Pierce] <br />[Continuous] At the end of battle phase this card attacked or blocked, it deals 1000 damage to you and each resonator.
Phoenix	1	EN1-071	Resonator	Divine Beast	[r][r][3]	5	600	600	Fire	R	[Flying] <br />[Continuous] When this card put into a graveyard from a field, you may return it to owner's hand. <br />[Activate] Pay {R}{R}{1},{Rest} banish this card: This card deals 500 damage to target resonator or player.
Efreet, the Blazing Elemental	1	EN1-072	Resonator	Spirit	[r][2]	3	600	400	Fire	U	[Activate] Pay {2}: This card gains [+200/+0] until end of turn.
Hino Kagutsuchino Mikoto, the Flaming God of Fate	1	EN1-073	Resonator	Deity	[r][r][r][r][4]	8	1500	1500	Fire	SR	[Pierce] <br />[Enter] This card deals 1000 damage to you and each resonator in your opponent's field. <br />[Enter] This card can attack on the turn it's summoned.
Belial, the Crimson Lord	1	EN1-074	Resonator	Demon	[r][r][r][3]	6	800	800	Fire	R	[Continuous] Your resonators gain [Explode]. <br />[Continuous] When your resonator put into a graveyard by [Explode], you may discard a card from your hand. If you do, return that resonator to its owner's hand.
Coorat, the Bond of Dead Dragon	1	EN1-075	Resonator	Evil Spirit	[r][r][3]	5	1000	1000	Fire	R	[Activate] {Rest}, discard a card from your hand: Destroy target [Race:Dragon] resonator.
Spreading Anger	1	EN1-076	Addition: Field		[r][1]	2			Fire	U	[Activate] Banish a resonator in your field: Target two resonators' ATK becomes the number equal to [the printed ATK of the banished resonator] until end of turn.
Urge of Destruction	1	EN1-077	Addition: Resonator		[r]	1			Fire	C	[Continuous] Resonator with this gains [Explode].
Stampede	1	EN1-078	Addition: Resonator		[r]	1			Fire	C	[Continuous] Resonator with this cannot trigger its [Activate]. It attacks if able.
Boiling Blood	1	EN1-079	Addition: Resonator		[r]	1			Fire	C	[Continuous] Resonator with this gains [+400/+400]. <br />[Continuous] Resonator with this cannot block.
Cursed Sword of Asakna	1	EN1-080	Addition: Resonator		[r][1]	2			Fire	C	[Continuous] Resonator with this gains [+600/+200]. <br />[Continuous] Resonator with is cannot block.
Inspiration of War	1	EN1-081	Addition: Resonator		[r][1]	2			Fire	C	[Continuous] ATK of resonator with this increase by [the number of other resonators in your field x 200].
Fireball	1	EN1-082	Spell	Chant	[r]	1			Fire	C	[Break] This card deals 500 damage to target resonator. <br />This card deals 400 damage to target resonator.
Blazing	1	EN1-083	Spell	Chant	[r]	1			Fire	U	[Break] This card deals [the number of cards in your magic stone area x 100] damage to target resonator. <br />Rest all recovered cards in your magic stone area. This card deals [the number of cards rested in this way x 200] damage to target resonator.
Banzai Attack	1	EN1-084	Spell	Chant	[r][r][2]	4			Fire	R	Your resonators gain [+700/+0] and [Pierce] until end of turn. At the end of your turn, destroy your resonators and J-ruler.
Raging Inferno	1	EN1-085	Spell	Chant	[r][4]	5			Fire	C	[Break] This card deals 500 damage to target player. <br />This card deals 1000 damage to target player. You cannot play this card if your opponent has 1000 life or less.
When I die, you too	1	EN1-086	Spell	Chant	[r][r][3]	5			Fire	R	You pay any amount of your life in multiples of 100. You cannot pay more life than the largest DEF among all resonator in all fields. This card deals [life you paid] damage to each resonator and your opponent.
Flaming Art -Carnage-	1	EN1-087	Spell	Chant - Instant	[r]	1			Fire	U	[Break] This card deals 500 damage to target resonator. <br />This card deals 300 damage to target resonator.
Bursting Shot	1	EN1-088	Spell	Chant - Instant	[r]	1			Fire	C	[Break] This card deals [the number of cards in your magic stone area x 100] damage to target resonator. <br />Banish a recovered card in your magic stone area. This card deals 600 damage to target resonator or player.
Eyes in Anger	1	EN1-089	Spell	Chant - Instant	[r]	1			Fire	C	[Break] Target resonator gains [+500/+0] until end of turn. <br />Rest all recovered cards in your magic stone area. ATK of target resonator increases [the number of cards rested in this way x 200] until end of turn.
Flame Lance	1	EN1-090	Spell	Chant - Instant	[r][1]	2			Fire	R	[Break] This card deals 500 damage to target resonator or player. <br />This card deals 500 damage to target resonator or player.
Prepare to Fall Together	1	EN1-091	Spell	Chant - Instant	[r][1]	2			Fire	C	[Break] Target resonator gains [Explode] until the end of turn. <br />Target resonator gains [Explode] until the end of turn.
Black Flame	1	EN1-092	Spell	Chant - Instant	[r][3]	4			Fire	R	[Break] This card deals 1000 damage to target J-ruler. <br />This card deals 800 damage to target resonator or J-ruler.
Enlarge Body	1	EN1-093	Spell	Chant - Standby	[r][1]	2			Fire	C	[Trigger] Anytime: Target resonator gains [+400/+400] until end of turn.
Flaming Art -Foxfire-	1	EN1-094	Spell	Chant - Standby	[r][1]	2			Fire	C	[Trigger] When a resonator summoned: This card deals 200 damage to each resonator.
Flaming Art -White Lotus-	1	EN1-095	Spell	Chant - Standby	[r][r]	2			Fire	C	[Trigger] During the end phase of a turn that your opponent has gained life: This card deals 1000 damage to target player gained life this turn.
Flaming Art -Giant Scorch-	1	EN1-096	Spell	Chant - Standby	[r][r]	2			Fire	R	[Trigger] When a resonator summoned: This card deals 400 damage to each resonator and deals 800 damage to you.
Oathkeeper of the Sacred Sea	1	EN1-097,EN1-097-j	Ruler				0//0	0//600	Water	R	"[J-Activate] Banish two cards in your chant-standby area. <br />[Activate] Pay {U}{3},{Rest}: Gain control of target resonator until end of turn.//[Enter] You may search for a ""Rahab, the Emperor Dragon of Riptide"" from your main deck or your hand and put it into your field. This triggers [Enter] ability of that card. Then shuffle your main deck. <br />[Activate] Pay {2}: This card cannot be attacked until end of turn. <br />[Activate] Pay {U}{2},{Rest}: Gain control of target resonator until end of turn."
Labyrinth Master, Chronos	1	EN1-098	Ruler						Water	R	[Continuous] If a player would draw one or more cards, that player draws that many plus one cards instead. This ability is applied to all players. (For example, if you would draw two cards, draw three cards instead. You don't draw one card for each of the cards you draw. This ability won't be applied for the cards drawn by this ability.) <br/>[Continuous] Whenever a resonator in a field is put into a player's hand, that player puts top card of his or her main deck into his or her graveyard. This ability is applied to all players. <br />[Activate] Pay {0}: You may activate this only once in a draw phase. The next time you would draw one or more cards in this phase, put the top card of your main deck into your graveyard then draw that many cards instead.
Twin Swords of Water's Mercy	1	EN1-099,EN1-099-j	Ruler				0//1000	0//1000	Water	R	[J-Activate] You have two or more cards in your chant-standby area. <br />[Activate] {Rest}: Target resonator gains [Flying] until end of turn.//[Pierce] <br />[Target Attack] <br />[Enter] Return target two resonators to their owner's hand.
Mermaid Apprentice Student	1	EN1-100	Resonator	Mermaid	[u]	1	200	200	Water	C	[Break] Put this card into your field. <br />[Continuous] When this card is put into a graveyard from your field, draw a card from your main deck.
Ea, the Wisdom Mermaid	1	EN1-101	Resonator	Mermaid	[u][1]	2	200	400	Water	C	[Break] Put this card into your hand. <br />[Enter] Target player draws a card from his or her main deck.
Sweeper of Coral	1	EN1-102	Resonator	Mermaid	[u][1]	2	200	200	Water	C	[Break] Destroy target addition. <br />[Activate] Banish this card: Destroy target addition.
Queen of Atlantis	1	EN1-103	Resonator	Mermaid	[u][2]	3	200	400	Water	U	[Break] Rest target resonator. <br />[Activate] Pay {U}{Rest}: Rest target resonator.
Song of Tides	1	EN1-104	Resonator	Mermaid	[u][2]	3	200	200	Water	U	[Break] Draw a card from your main deck. <br />[Activate] {Rest}: Produce {U} for each [Race:Mermaid] resonator in your field.
High Tide Warrior	1	EN1-105	Resonator	Swordsman	[u][2]	3	400	400	Water	R	[Break] Put this card into your hand. <br />[Enter] Rest two target resonators.
Antorite, the Guardian of Deep Blue	1	EN1-106	Resonator	Mermaid	[u][u][u]	3	400	400	Water	R	[Continuous] Your [Race:Mermaid] resonators gain [+200/+200]. <br />[Activate] Pay {U}{4}: Target player draws a card from his or her main deck.
Amazon of Blue Ocean	1	EN1-107	Resonator	Swordsman	[u][2]	3	600	600	Water	C	[Break] Put this card into your field. <br />[Target Attack]
Guide of Chaos	1	EN1-108	Resonator	Clown	[u][1]	2	400	400	Water	C	[Break] Put top five cards in your opponents main deck to his or her graveyard. <br />[Activate] Banish this card: Put top two cards in your opponents main deck to his or her graveyard.
Clockwork Messenger	1	EN1-109	Resonator	Clown	[u][1]	2	200	200	Water	C	[Break] Search for a resonator with total cost 6 or less from your main deck, reveal it and put it into your hand. Then shuffle your main deck. <br />[Continuous] Whenever this card deals battle damage to an opponent, each player draws a card.
Clown of Labyrinth	1	EN1-110	Resonator	Clown	[u][2]	3	600	600	Water	C	[Break] Put top five cards in your opponents main deck to his or her graveyard. <br />[Continuous] Whenever you attack with this card, put the top card in your opponents main deck to his or her graveyard.
Phantom Reviver	1	EN1-111	Resonator	Phantom	[u][1]	2	200	200	Water	C	[Break] Put this card into your field. <br />[Continuous] At the end of turn, return each resonator battle with this card to its owner's hand.
Magic Tricker	1	EN1-112	Resonator	Clown	[u][1]	2	200	200	Water	C	[Break] Put this card into your hand. <br />[Enter] Put all cards in your hand to your main deck, shuffle it and draw cards equal to the number of cards you had from your main deck.
Mirage Golem	1	EN1-113	Resonator	Phantom	[u][u][1]	3	0	100	Water	SR	[Continuous] If [Activate] of this card was used, this card's ATK, DEF and abilities are the same as the ones of the resonator targeted by [Activate]. <br /> [Activate] You can use this ability only from your hand. When a resonator is summoned, you may pay {U}{U}: If you do, when the resonator is put into a field, you put this card into your field, targeting the resonator.
Mirage Knight	1	EN1-114	Resonator	Phantom	[u][3]	4	0	100	Water	R	[Continuous] If [Enter] of this card was used, this card's ATK and DEF are the same as the ones of the resonator targeted by [Enter]. <br />[Continuous] When the resonator targeted by [Enter] of this card is destroyed, destroy this card. <br />[Enter] Choose target resonator in your opponent's field.
Gravephantom	1	EN1-115	Resonator	Phantom	[u][3]	4	200	200	Water	R	[Break] Put this card into your hand. <br />[Continuous] If the top card of your opponent's graveyard is a resonator. ATK, DEF, and abilities of this card are the ones of the card in that graveyard. Otherwise, this ability does nothing.
Illusionary Guardian	1	EN1-116	Resonator	Phantom	[u][3]	4	0	100	Water	U	[Break] Put this card into your field. <br />[Activate] Pay {U}: ATK and DEF of this card is the ones of target non-[Race:Phantom] resonator in an opponent's field until end of turn.
Labyrinth Capturer	1	EN1-117	Resonator	Phantom	[u][u][2]	4	800	800	Water	C	[Continuous] You may choose not to recover this card in a recover phase. <br />[Activate] {Rest}: Target rested resonator cannot recover as long as this card is rested.
Mirage Slime	1	EN1-118	Resonator	Slime	[u][2]	3	400	400	Water	C	[Break] Put this card into your field. <br />[Continuous] This card cannot be targeted by spells or abilities.
Acidic Slime	1	EN1-119	Resonator	Slime	[u][2]	3	600	600	Water	U	[Break] Put this card into your hand. <br />[Continuous] At the end of your turn, each player put the top card of his or her main deck into his or her graveyard.
Aspidochelone, the Giant Turtle of Wisdom	1	EN1-120	Resonator	Divine Beast	[u][u][3]	5	200	1000	Water	R	[Continuous] Other resonators in your field cannot be attacked by your opponent's resonators.
Wall of Blizzard	1	EN1-121	Resonator	Golem	[u][u][1]	3	0	1500	Water	U	[Break] Put this card into your hand.
Ayakashi, the Serpent of Oil Mud	1	EN1-122	Resonator	Dragon	[u][u][2]	4	400	400	Water	R	[Continuous] As you choose this card as an attacker, before you choose where to attack, you may rest up to two resonators.
Water Dragon	1	EN1-123	Resonator	Dragon	[u][4]	5	1000	800	Water	U	[Pierce]
Disappearing Drake	1	EN1-124	Resonator	Dragon	[u][u][3]	5	600	800	Water	U	[Flying] <br />[Activate] Pay {U}: Return this card to its owner's hand.
Rahab, the Emperor Dragon of Riptide	1	EN1-125	Resonator	Dragon	[u][u][4]	6	0	600	Water	SR	[Enter] Return other resonators and additions to owner's hand. <br />[Continuous] ATK of this card is equal to [the number of all cards returned to all players' hands by [Enter] x 200]. <br />[Continuous] If you choose this card as an attacker, all players cannot play spells or [Activate] until end of the battle.
Mirage Drake	1	EN1-126	Resonator	Dragon	[u][u][4]	6	1000	1000	Water	R	[Flying] <br />[Activate] Pay {1}: This card cannot be targeted by spells or abilities until end of turn.
Landing Point of Ice	1	EN1-127	Addition: Field		[u][1]	2			Water	C	[Continuous] All resonators come into fields rested.
Labyrinth of Doubt	1	EN1-128	Addition: Field		[u][u][2]	4			Water	R	[Continuous] At the end of turn, return each resonator that attacked this turn to its owner's hand. <br />[Continuous] At the beginning of your draw phase, banish this card unless you pay {U}{U}.
Mutating Potion -Eclosion-	1	EN1-129	Addition: Resonator		[u]	1			Water	C	[Continuous] Resonator with this gains [Flying].
Mirage Mail	1	EN1-130	Addition: Resonator		[u][1]	2			Water	C	[Continuous] Resonator with this cannot be targeted by spells or abilities.
Forget	1	EN1-131	Addition: Resonator		[u][1]	2			Water	C	[Continuous] Resonator with this loses all abilities.
Nerve Control	1	EN1-132	Addition: Resonator		[u][u][2]	4			Water	R	You gain control of target resonator. Then this card becomes an addition added to that resonator. <br />[Continuous] When this card leaves your field, return that resonator to its owner's hand. <br />[Continuous] At the beginning of your main phase, pay {U}. If you don't, banish this card.
New Stream	1	EN1-133	Spell	Chant	[u][u][2]	4			Water	R	[Break] Each player draws two cards from his or her main deck. <br />Each player discards all cards from his or her hand. Then each player draws four cards from his or her main deck.
Flow Back	1	EN1-134	Spell	Chant - Instant	[u]	1			Water	C	[Break] Rest target resonator. <br />Rest target resonator.
Mind Control	1	EN1-135	Spell	Chant - Instant	[u][1]	2			Water	C	[Break] Rest target resonator. <br />Target resonator's ATK and DEF becomes the another target resonator's printed ATK and printed DEF until end of turn.
Call of Illusion	1	EN1-136	Spell	Chant - Instant	[u][1]	2			Water	C	[Break] Destroy target card in a chant-standby area. <br />Destroy target card in a chant-standby area. It cannot be used to chase this card.
Wash Away	1	EN1-137	Spell	Chant - Instant	[u][1]	2			Water	C	[Break] Return target resonator to its owner's hand. <br />Return target resonator back to its owner's hand.
Diffuse Reflection	1	EN1-138	Spell	Chant - Instant	[u][u][1]	3			Water	U	[Break] Draw a card from your main deck. <br />Change a target of a spell or ability that targets a resonator or an addition to another. (If it targets more then one, you can change one of it.)
Turnaround	1	EN1-139	Spell	Chant - Instant	[u][u][1]	3			Water	C	[Break] Return target resonator to its owner's hand. <br />Rest two target resonators.
Windfall	1	EN1-140	Spell	Chant - Instant	[u][3]	4			Water	C	[Break] Draw a card from your main deck. <br />Target player draws two cards from his or her main deck.
Peace Negotiation	1	EN1-141	Spell	Chant - Standby	[u][1]	2			Water	C	[Break] All damage becomes 0 until end of turn. <br />[Trigger] At the beginning of opponent's battle phase: End the battle phase. That opponent cannot declare attack until end of turn.
